265, 229
320, 415
326, 206
269, 230
250, 183
278, 189
298, 191
355, 170
400, 171
338, 103
266, 126
235, 139
304, 155
321, 141
389, 134
304, 420
265, 434
282, 433
296, 469
335, 455
387, 438
386, 502
292, 545
272, 550
324, 606
353, 546
367, 521
426, 600
363, 618
390, 586
423, 542
433, 504
310, 510
272, 623
235, 509
647, 212
608, 241
629, 241
654, 288
612, 292
607, 265
625, 275
566, 339
588, 299
577, 262
572, 186
588, 161
638, 165
612, 185
602, 231
550, 249
522, 329
553, 301
527, 255
602, 358
634, 331
677, 366
