81, 68
106, 64
101, 77
87, 94
70, 91
66, 79
68, 72
76, 57
85, 53
118, 58
140, 87
132, 110
102, 102
119, 92
132, 109
111, 144
43, 143
119, 261
158, 178
81, 190
64, 213
141, 203
182, 148
207, 92
247, 90
212, 55
168, 57
128, 77
87, 45
54, 80
41, 147
57, 252
43, 263
78, 312
132, 281
213, 225
195, 183
181, 327
190, 612
296, 621
232, 612
243, 640
272, 647
274, 628
232, 617
208, 637
180, 656
151, 660
142, 637
128, 602
148, 577
183, 570
188, 602
152, 619
236, 601
262, 586
289, 570
262, 555
237, 566
202, 564
173, 527
140, 542
135, 557
127, 581
219, 555
237, 541
271, 537
295, 556
309, 596
312, 625
278, 675
226, 674
206, 674
245, 663
276, 621
280, 612
294, 600
214, 606
209, 595
219, 535
665, 285
610, 301
644, 298
654, 287
649, 275
638, 251
619, 272
621, 288
634, 301
634, 347
661, 339
678, 323
684, 304
649, 315
639, 330
611, 319
609, 295
613, 224
618, 198
647, 199
669, 234
685, 249
696, 215
411, 353
429, 345
427, 336
417, 336
409, 345
397, 350
394, 341
399, 331
408, 322
417, 315
428, 310
438, 335
439, 348
430, 348
426, 345
410, 348
405, 358
412, 372
424, 375
437, 371
446, 362
456, 345
460, 326
454, 320
442, 324
436, 328
434, 329
413, 316
395, 327
387, 335
376, 365
378, 377
398, 392
411, 392
431, 393
444, 395
466, 380
399, 372
380, 316
642, 555
621, 567
598, 593
588, 609
580, 639
578, 660
577, 688
602, 681
603, 648
606, 628
619, 602
634, 588
664, 571
674, 570
694, 555
682, 551
665, 555
665, 546
685, 532
660, 525
647, 542
613, 555
604, 566
578, 588
567, 609
565, 622
564, 648
559, 665
555, 688
540, 676
552, 642
557, 627
576, 577
583, 566
603, 549
621, 534
635, 526
652, 519
684, 507
695, 508
632, 682
651, 663
662, 646
689, 590
679, 616
666, 644
635, 644
629, 657
641, 622
653, 612
665, 600
172, 120
237, 139
259, 127
215, 125
194, 225
174, 254
91, 214
127, 193
141, 158
148, 35
84, 151
49, 199
65, 124
